类别,precision,recall,f1-score,support,accuracy,AP
FM-ED,0.4929577464788732,0.7,0.5785123966942148,50.0,0.7,0.5996223192184448
FM-LD,0.9803921568627452,1.0,0.99009900990099,50.0,1.0,1.0
FM-MD,0.75,0.42,0.5384615384615385,50.0,0.42,0.6844980068417645
FM-OM,0.9761904761904762,0.82,0.8913043478260869,50.0,0.82,0.9635089029149315
FM-SD,0.847457627118644,1.0,0.9174311926605504,50.0,1.0,0.889458779733066
HF-ED,0.8301886792452831,0.88,0.8543689320388349,50.0,0.88,0.8400537032005134
HF-LD,0.7457627118644068,0.88,0.8073394495412843,50.0,0.88,0.9004821874064433
HF-MD,0.8571428571428571,0.72,0.782608695652174,50.0,0.72,0.9864280817198914
HF-OM,0.8771929824561403,1.0,0.9345794392523364,50.0,1.0,0.9961648388168827
HF-SD,0.9148936170212766,0.86,0.8865979381443299,50.0,0.86,0.9734795440383983
RJ-ED,0.7555555555555555,0.68,0.7157894736842104,50.0,0.68,0.8403457097592559
RJ-LD,0.5833333333333334,0.7,0.6363636363636365,50.0,0.7,0.6747456501191211
RJ-MD,0.5306122448979592,0.52,0.5252525252525252,50.0,0.52,0.4892182145779331
RJ-OM,0.6545454545454545,0.72,0.6857142857142857,50.0,0.72,0.6325706265534858
RJ-SD,0.75,0.48,0.5853658536585366,50.0,0.48,0.732884581367625
macro avg,0.7697483628475337,0.7586666666666666,0.755319247656369,750.0,0.7586666666666666,0.8135640764178504
weighted avg,0.7697483628475337,0.7586666666666667,0.755319247656369,750.0,0.7586666666666666,0.8135640764178504
