图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,FM-ED-预测置信度,FM-LD-预测置信度,FM-MD-预测置信度,FM-OM-预测置信度,FM-SD-预测置信度,HF-ED-预测置信度,HF-LD-预测置信度,HF-MD-预测置信度,HF-OM-预测置信度,HF-SD-预测置信度,RJ-ED-预测置信度,RJ-LD-预测置信度,RJ-MD-预测置信度,RJ-OM-预测置信度,RJ-SD-预测置信度
../Image/Train_Image\test\FM-ED\IMG_20230524_113652_1.jpg,0,FM-ED,2.0,FM-MD,4.0,FM-SD,0.0,FM-ED,1.0,FM-LD,1.0,0.19635509,0.016894134,0.4464296,0.013680907,0.3074389,0.0052041938,0.000837408,0.0022216567,0.00073422916,0.0018830607,0.00074262865,0.0011187023,0.0016607107,0.0014130285,0.0033856581
../Image/Train_Image\test\FM-ED\IMG_20230524_113653.jpg,0,FM-ED,2.0,FM-MD,4.0,FM-SD,0.0,FM-ED,3.0,FM-OM,1.0,0.2008548,0.010029278,0.444807,0.027062874,0.30286476,0.003881859,0.00072130095,0.0014358592,0.0004959084,0.0029742203,0.00029571063,0.0010109721,0.0012974055,0.0009458717,0.0013222117
../Image/Train_Image\test\FM-ED\IMG_20230524_113702.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.58508164,0.023209305,0.22976714,0.04692175,0.08746648,0.004463385,0.0011913097,0.0016280081,0.00134763,0.010365889,0.0011424347,0.000843411,0.0017986755,0.000966828,0.0038060402
../Image/Train_Image\test\FM-ED\IMG_20230524_113702_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,4.0,FM-SD,1.0,0.61862665,0.018631263,0.20604876,0.06867388,0.05376351,0.0059165335,0.0022416294,0.0021417467,0.0016401354,0.011083655,0.001151986,0.0015815429,0.0015604425,0.002068189,0.0048700953
../Image/Train_Image\test\FM-ED\IMG_20230524_113706.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.52720183,0.016126098,0.35378778,0.025319228,0.05065988,0.005362179,0.002057161,0.0024526326,0.0007841104,0.007139318,0.0013393193,0.001408509,0.0017609991,0.0009353782,0.0036656845
../Image/Train_Image\test\FM-ED\IMG_20230524_113706_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.6504982,0.009509546,0.28363267,0.018186575,0.024955181,0.0028487328,0.00086849794,0.00087863626,0.00035306465,0.0048793065,0.0007895883,0.0004233016,0.0007285991,0.00026859358,0.0011795142
../Image/Train_Image\test\FM-ED\IMG_20230524_113711_2.jpg,0,FM-ED,4.0,FM-SD,0.0,FM-ED,2.0,FM-MD,1.0,FM-LD,1.0,0.31639618,0.04250389,0.21473871,0.007846953,0.3968287,0.0061644795,0.0013861881,0.0016536848,0.00076540536,0.004835751,0.0011251721,0.0010418788,0.001317248,0.0008126271,0.0025832134
../Image/Train_Image\test\FM-ED\IMG_20230524_113712.jpg,0,FM-ED,4.0,FM-SD,0.0,FM-ED,2.0,FM-MD,1.0,FM-LD,1.0,0.31652454,0.047320105,0.22488536,0.010707386,0.3693976,0.012246576,0.0028451015,0.0031450759,0.0009792511,0.0069737355,0.0008164064,0.00072873814,0.0009173407,0.00077258295,0.0017401678
../Image/Train_Image\test\FM-ED\IMG_20230524_113716_1.jpg,0,FM-ED,2.0,FM-MD,0.0,FM-ED,4.0,FM-SD,1.0,FM-LD,1.0,0.36957964,0.050061043,0.36963868,0.027096612,0.17513582,0.002162608,0.0007223131,0.0012146992,0.0003730762,0.001209445,0.0002827904,0.0003763377,0.0006165805,0.00042571954,0.0011046764
../Image/Train_Image\test\FM-ED\IMG_20230524_113717.jpg,0,FM-ED,2.0,FM-MD,4.0,FM-SD,0.0,FM-ED,1.0,FM-LD,1.0,0.23513857,0.021345314,0.424521,0.008454323,0.3066342,0.0012766748,0.00020620113,0.00042592917,8.5196065e-05,0.0005826544,8.412387e-05,0.0001567502,0.00032866394,0.00019967364,0.0005607261
