类别,precision,recall,f1-score,support,accuracy,AP,AUC
FM-ED,0.9487179487179488,0.74,0.8314606741573033,50.0,0.74,0.9340911048521584,0.993
FM-LD,1.0,1.0,1.0,50.0,1.0,1.0,1.0
FM-MD,0.8032786885245902,0.98,0.882882882882883,50.0,0.98,0.9543870278040402,0.9969142857142856
FM-OM,1.0,0.96,0.979591836734694,50.0,0.96,1.0,1.0
FM-SD,0.9615384615384616,1.0,0.9803921568627452,50.0,1.0,0.9992307692307694,0.9999428571428571
HF-ED,0.875,0.98,0.9245283018867924,50.0,0.98,0.9644088304185714,0.9977999999999999
HF-LD,0.9090909090909092,1.0,0.9523809523809524,50.0,1.0,0.9984464555052792,0.9998857142857143
HF-MD,1.0,0.88,0.9361702127659576,50.0,0.88,0.9978571428571428,0.9998285714285714
HF-OM,1.0,1.0,1.0,50.0,1.0,1.0,1.0
HF-SD,0.9772727272727272,0.86,0.9148936170212766,50.0,0.86,0.9875167325428196,0.9989714285714285
RJ-ED,0.7317073170731707,0.6,0.6593406593406594,50.0,0.6,0.6491679217115304,0.9804857142857143
RJ-LD,0.84,0.84,0.8399999999999999,50.0,0.84,0.8598551957718046,0.9762285714285714
RJ-MD,0.6065573770491803,0.74,0.6666666666666666,50.0,0.74,0.7176188262785027,0.9644
RJ-OM,0.851063829787234,0.8,0.8247422680412372,50.0,0.8,0.9321238117730664,0.9931714285714285
RJ-SD,0.7115384615384616,0.74,0.7254901960784313,50.0,0.74,0.8429062896650398,0.9752000000000001
macro avg,0.8810510480395123,0.8746666666666666,0.8745693616546397,750.0,0.8746666666666666,0.9225073405607148,0.9917219047619047
weighted avg,0.8810510480395122,0.8746666666666667,0.8745693616546398,750.0,0.8746666666666667,0.922507340560715,0.9917219047619047
