图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,FM-ED-预测置信度,FM-LD-预测置信度,FM-MD-预测置信度,FM-OM-预测置信度,FM-SD-预测置信度,HF-ED-预测置信度,HF-LD-预测置信度,HF-MD-预测置信度,HF-OM-预测置信度,HF-SD-预测置信度,RJ-ED-预测置信度,RJ-LD-预测置信度,RJ-MD-预测置信度,RJ-OM-预测置信度,RJ-SD-预测置信度
../Image/Train_Image\test\FM-ED\IMG_20230524_113652_1.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,3.0,FM-OM,1.0,0.9623365,0.00050947734,0.0062696375,0.0033890866,0.023952689,0.0010101196,0.000413016,0.00046346473,0.0001756759,0.00034324583,0.00016870229,0.000270701,0.00016656089,0.00023716148,0.0002939048
../Image/Train_Image\test\FM-ED\IMG_20230524_113653.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,3.0,FM-OM,1.0,0.9676867,0.00065755384,0.006290879,0.0009576746,0.021872234,0.0007848528,0.00027958644,0.00027452887,0.00010131892,0.00042574355,0.000111352434,0.00014407876,0.00012127002,0.00013619252,0.00015597466
../Image/Train_Image\test\FM-ED\IMG_20230524_113702.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.999343,1.905058e-05,0.00019885643,9.021976e-05,0.00015416178,6.9803915e-05,2.2174341e-05,2.1434651e-05,1.0833306e-05,3.342945e-05,4.812998e-06,6.5216195e-06,7.681796e-06,3.2960158e-06,1.4718536e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113702_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.99936956,1.5556414e-05,0.00022802304,8.043119e-05,0.00012922173,6.290406e-05,2.052781e-05,1.4296771e-05,1.1173439e-05,3.5145193e-05,4.476467e-06,4.5702895e-06,6.8207805e-06,3.4187215e-06,1.3880236e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113706.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,5.0,HF-ED,1.0,0.99873286,1.4327355e-05,0.00082140905,0.00013900071,5.6236076e-05,0.00013799057,1.0102072e-05,1.1464223e-05,8.744359e-06,3.4337925e-05,5.3466133e-06,4.3743626e-06,4.990493e-06,3.072399e-06,1.584054e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113706_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.99911493,1.4232097e-05,0.00052215403,0.00010513339,0.00012787041,4.3117452e-05,6.2913373e-06,8.415208e-06,6.050972e-06,2.9182575e-05,3.8095293e-06,3.913947e-06,3.8083672e-06,2.1246965e-06,8.808177e-06
../Image/Train_Image\test\FM-ED\IMG_20230524_113711_2.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,5.0,HF-ED,1.0,0.9993524,1.734712e-05,4.849001e-05,1.4547445e-05,0.00048652664,3.7139343e-05,5.363637e-06,8.355688e-06,2.3589662e-06,1.2579263e-05,1.973162e-06,1.2702691e-06,2.4885207e-06,1.1341447e-06,8.062837e-06
../Image/Train_Image\test\FM-ED\IMG_20230524_113712.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,1.0,FM-LD,1.0,0.9936016,0.00011693104,0.00023450427,0.000109423614,0.0056948606,4.795574e-05,3.9184964e-05,5.5399432e-05,1.4064702e-05,5.4333974e-05,7.0121164e-06,3.8553235e-06,9.861075e-06,3.3129938e-06,7.5829753e-06
../Image/Train_Image\test\FM-ED\IMG_20230524_113716_1.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,3.0,FM-OM,2.0,FM-MD,1.0,0.9987348,2.532207e-05,6.285769e-05,0.00011093935,0.0009801879,4.0449926e-05,6.7905594e-06,1.4316032e-05,2.9442954e-06,3.857207e-06,2.5759239e-06,1.512652e-06,2.6238376e-06,1.4628682e-06,9.324447e-06
../Image/Train_Image\test\FM-ED\IMG_20230524_113717.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,3.0,FM-OM,1.0,0.9890969,0.00017922976,0.000555661,0.00020651009,0.009697084,6.7600384e-05,3.4599616e-05,6.6490815e-05,1.5229096e-05,1.44185215e-05,1.0329198e-05,3.876209e-06,1.0325346e-05,4.997861e-06,3.6825302e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113720_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,5.0,HF-ED,1.0,0.9928186,7.214199e-05,0.004933795,0.0008476921,0.00023515087,0.00033767254,6.437827e-05,8.756054e-05,4.0815892e-05,7.5259006e-05,4.2947795e-05,3.6443515e-05,4.9379698e-05,4.9329337e-05,0.0003088631
../Image/Train_Image\test\FM-ED\IMG_20230524_113736_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,5.0,HF-ED,1.0,0.99784875,1.04822e-05,0.0017621418,0.00017294832,2.0153318e-05,7.0785594e-05,7.095609e-06,4.404407e-06,4.704142e-06,9.740017e-06,4.6466953e-06,7.726879e-06,4.7161893e-06,8.760187e-06,6.288943e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113740.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,5.0,HF-ED,1.0,0.99800235,1.46576485e-05,0.0011652556,0.00051803957,2.4614337e-05,0.00010390227,2.5851237e-05,1.1886563e-05,1.8482307e-05,2.1211845e-05,6.395427e-06,2.228293e-05,7.334058e-06,1.154059e-05,4.6226993e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113740_1.jpg,0,FM-ED,0.0,FM-ED,3.0,FM-OM,2.0,FM-MD,5.0,HF-ED,1.0,0.9955272,3.7937312e-05,0.0016020586,0.002110841,5.7581365e-05,0.00025351514,6.123511e-05,3.180364e-05,3.7585978e-05,6.859654e-05,1.6046748e-05,3.0701158e-05,1.8743256e-05,3.6979585e-05,0.00010915254
../Image/Train_Image\test\FM-ED\IMG_20230524_113743_2.jpg,0,FM-ED,0.0,FM-ED,3.0,FM-OM,2.0,FM-MD,5.0,HF-ED,1.0,0.9999665,2.7999383e-07,8.997045e-06,1.8099896e-05,7.453987e-07,2.843414e-06,1.5695585e-07,2.287308e-07,3.1992772e-07,3.9397145e-07,5.711272e-08,3.411386e-07,1.3038232e-07,1.04502e-07,8.59104e-07
../Image/Train_Image\test\FM-ED\IMG_20230524_113744.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,5.0,HF-ED,1.0,0.9999237,2.7938012e-07,5.433603e-05,1.2701816e-05,1.3101185e-06,3.5906953e-06,2.471727e-07,3.2695473e-07,2.5078202e-07,3.1300848e-07,1.4262646e-07,4.2235902e-07,2.3507236e-07,1.2154557e-07,2.0341306e-06
../Image/Train_Image\test\FM-ED\IMG_20230524_113747_2.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,14.0,RJ-SD,1.0,0.9990096,8.799239e-06,0.0004112001,0.00039259894,2.2997256e-05,4.4619963e-05,9.209035e-06,6.616321e-06,9.0358535e-06,1.0026169e-05,4.426447e-06,1.1676525e-05,5.9239414e-06,7.7124505e-06,4.5465924e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113748.jpg,0,FM-ED,0.0,FM-ED,3.0,FM-OM,2.0,FM-MD,5.0,HF-ED,1.0,0.9998281,2.1604565e-06,4.8484504e-05,7.8414036e-05,5.761404e-06,1.4120322e-05,1.7807346e-06,1.192966e-06,1.2570742e-06,1.9820568e-06,9.988445e-07,2.0908174e-06,1.1702971e-06,1.5793642e-06,1.0838927e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113751_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,5.0,HF-ED,1.0,0.99977523,1.8937327e-06,0.000121352256,4.9835646e-05,7.045975e-06,1.7584467e-05,5.259426e-06,2.3780178e-06,1.6515935e-06,2.1474282e-06,1.0703867e-06,2.2206611e-06,1.4586037e-06,1.3460233e-06,9.665782e-06
../Image/Train_Image\test\FM-ED\IMG_20230524_113751_2.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,5.0,HF-ED,1.0,0.99989307,1.5203669e-06,4.0510244e-05,2.757776e-05,3.0669669e-06,1.3551037e-05,1.7919785e-06,8.807192e-07,1.0585264e-06,1.6521836e-06,6.3786405e-07,8.128528e-07,8.429551e-07,1.3262988e-06,1.1659309e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113757.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,5.0,HF-ED,1.0,0.9044808,0.00019808572,0.08374598,0.009941525,0.00030120244,0.00044288908,2.2961687e-05,0.00011115132,4.9501934e-05,5.95323e-05,2.5475216e-05,0.00017264135,5.4188138e-05,3.7297166e-05,0.00035680502
../Image/Train_Image\test\FM-ED\IMG_20230524_113757_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,4.0,FM-SD,1.0,0.89860344,0.00016301208,0.098153606,0.0020943058,0.00030883236,0.0002857431,1.6106798e-05,3.6149242e-05,3.5081415e-05,3.7782946e-05,1.6754366e-05,8.276459e-05,1.9295616e-05,2.9392573e-05,0.00011773355
../Image/Train_Image\test\FM-ED\IMG_20230524_113803.jpg,0,FM-ED,0.0,FM-ED,3.0,FM-OM,2.0,FM-MD,4.0,FM-SD,1.0,0.959278,0.00030049062,0.013301831,0.025803713,0.00065517303,0.0001598628,3.962361e-05,4.5797704e-05,5.1037758e-05,4.9380997e-05,2.7078482e-05,9.890776e-05,3.2141103e-05,5.9163685e-05,9.789669e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113803_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,4.0,FM-SD,1.0,0.9150541,0.00058949954,0.052834336,0.027389424,0.0025277198,0.0003315887,7.364265e-05,0.00012709877,9.292247e-05,0.00010453962,8.598457e-05,0.0002663783,9.69242e-05,0.00013859397,0.0002873038
../Image/Train_Image\test\FM-ED\IMG_20230524_113806_1.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,3.0,FM-OM,1.0,0.9987484,2.7531456e-05,0.00036096523,0.0003392059,0.0004271777,3.5882113e-05,8.519369e-06,9.23283e-06,5.1462293e-06,4.831684e-06,3.814951e-06,7.9529755e-06,4.4197145e-06,4.1059106e-06,1.2813014e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113807.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,3.0,FM-OM,2.0,FM-MD,1.0,0.9909958,0.00011708116,0.0023218854,0.0024967324,0.0037427368,0.00012327202,3.5119094e-05,5.217168e-05,1.3222061e-05,2.2716189e-05,1.10999e-05,1.8386972e-05,1.331598e-05,1.0206115e-05,2.6279538e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113820_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.9878699,0.00014161624,0.010411923,0.0003963812,0.0009407671,2.6980499e-05,2.8787608e-05,2.898897e-05,2.0694693e-05,1.4469273e-05,1.3126578e-05,9.594656e-06,2.4134242e-05,1.284567e-05,5.9706166e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113821.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.9429439,0.00031860644,0.051744703,0.000721832,0.0036355455,7.2398056e-05,9.363556e-05,9.236796e-05,5.764144e-05,3.5192923e-05,3.7852828e-05,2.2760429e-05,5.3056425e-05,3.2721266e-05,0.00013780754
../Image/Train_Image\test\FM-ED\IMG_20230524_113824.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,14.0,RJ-SD,3.0,FM-OM,1.0,0.9995283,7.5293906e-06,0.00041670765,1.2167493e-05,6.4695682e-06,6.8227287e-06,1.2228269e-06,6.61261e-07,1.1905446e-06,1.5121901e-06,8.6477365e-07,9.582594e-07,1.1161095e-06,1.0243658e-06,1.3535904e-05
