图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,开花成熟-中旱-预测置信度,开花成熟-轻旱-预测置信度,开花成熟-适宜-预测置信度,开花成熟-重旱-预测置信度,抽穗开花-中旱-预测置信度,抽穗开花-轻旱-预测置信度,抽穗开花-适宜-预测置信度,抽穗开花-重旱-预测置信度,起身拔节-中旱-预测置信度,起身拔节-轻旱-预测置信度,起身拔节-适宜-预测置信度,起身拔节-重旱-预测置信度
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111355.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,1.0,0.99999225,8.190766e-07,1.8917448e-06,5.90529e-07,1.4731867e-08,5.414093e-10,7.544935e-10,2.2845108e-09,3.3369865e-08,3.2228154e-08,4.550031e-07,3.876832e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111356_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,1.0,0.99999475,5.318422e-07,1.060635e-06,1.353851e-06,1.0151959e-08,2.6637922e-10,5.885381e-10,1.5229978e-09,3.278762e-08,2.2495758e-08,2.6051785e-07,1.9593645e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111359.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,2.0,开花成熟-适宜,1.0,0.99996686,1.7032619e-06,2.7240744e-06,1.838132e-05,4.192484e-08,2.9576441e-09,2.4053182e-09,9.984457e-09,2.100332e-07,2.528425e-07,1.8028434e-06,7.838696e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111400_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,11.0,起身拔节-重旱,1.0,0.99995196,3.7724076e-06,9.268601e-06,2.377936e-05,1.379721e-07,5.693664e-09,9.804444e-09,2.5169486e-08,2.616887e-07,2.923798e-07,2.240274e-06,7.740522e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111402_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,1.0,0.9998305,3.1106334e-05,2.2924345e-05,9.523031e-05,4.10526e-07,2.4580732e-08,4.4947697e-08,7.4874585e-08,7.662808e-07,5.3408814e-07,1.9198858e-06,1.4569376e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111406_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,2.0,开花成熟-适宜,3.0,开花成熟-重旱,1.0,0.9999993,6.164921e-08,1.9398479e-07,1.7433617e-07,9.1274505e-10,1.19108326e-11,2.1550052e-11,8.443633e-11,1.889685e-09,2.9436027e-09,2.1376467e-08,2.4676928e-07
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111408_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.9999771,3.3102642e-06,2.6032315e-06,1.0541027e-05,4.192007e-08,1.7068768e-09,2.9176626e-09,3.9125756e-09,6.0879096e-08,6.5680254e-08,4.0307197e-07,5.6271642e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111410_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.99998426,2.3497712e-06,1.3955711e-06,6.7620476e-06,3.4567638e-08,1.3275403e-09,2.1112552e-09,4.7239506e-09,7.088856e-08,1.2591791e-07,7.244347e-07,4.0779373e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111412.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.9999962,1.7803079e-07,1.6999178e-07,2.466228e-06,3.4642351e-09,5.7601708e-11,1.2608348e-10,1.5179444e-10,4.28149e-09,8.714305e-09,9.0616545e-08,9.1421515e-07
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111414.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,11.0,起身拔节-重旱,1.0,0.9978263,2.9854074e-05,8.449153e-05,0.0019623495,6.5198865e-06,1.381403e-07,9.6186355e-08,2.921896e-07,2.4225621e-06,5.05741e-06,1.9042467e-05,5.6104447e-05
