图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,开花成熟-中旱-预测置信度,开花成熟-轻旱-预测置信度,开花成熟-适宜-预测置信度,开花成熟-重旱-预测置信度,抽穗开花-中旱-预测置信度,抽穗开花-轻旱-预测置信度,抽穗开花-适宜-预测置信度,抽穗开花-重旱-预测置信度,起身拔节-中旱-预测置信度,起身拔节-轻旱-预测置信度,起身拔节-适宜-预测置信度,起身拔节-重旱-预测置信度
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111355.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,4.0,抽穗开花-中旱,1.0,0.7964009,0.02620306,0.1692117,0.0013384566,0.001481887,0.00010956624,5.457898e-05,6.4306325e-05,0.0006885051,0.00053400814,0.00011556729,0.0008071738
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111356_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8231147,0.034671843,0.13505813,0.0019000666,0.001164059,8.660837e-05,5.0056435e-05,6.732111e-05,0.0005512053,0.00043646555,9.551921e-05,0.00064054644
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111359.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8692593,0.01584615,0.109688714,0.0022616987,0.00063407933,3.805528e-05,2.159906e-05,4.6219444e-05,0.00029879436,0.00021585067,4.5581794e-05,0.00034871002
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111400_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.82903457,0.023042578,0.14211245,0.001726979,0.00092194084,6.569057e-05,3.407845e-05,5.490427e-05,0.0004212219,0.00033399323,7.080174e-05,0.00047387823
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111402_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8029109,0.026913917,0.16039163,0.0024131667,0.0013357578,0.000118419586,6.68141e-05,8.709283e-05,0.00067046535,0.00044826008,0.00011565732,0.0007207553
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111406_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8746942,0.023495387,0.09775108,0.0017191946,0.0006749435,3.4785164e-05,1.6547197e-05,4.5066463e-05,0.00025280105,0.000240847,4.483429e-05,0.00032390593
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111408_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8217378,0.033321254,0.13566649,0.0018927971,0.0015279759,0.00012295095,6.125342e-05,9.923077e-05,0.0007183984,0.000623344,0.00013913593,0.00087403477
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111410_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.82224554,0.040602818,0.13213226,0.0012762714,0.00089729443,5.8145066e-05,3.081865e-05,5.1654857e-05,0.00038705848,0.0003786965,8.131793e-05,0.0005600359
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111412.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.84710455,0.033026546,0.11325522,0.0019702062,0.0011264816,7.7355886e-05,3.912549e-05,7.349369e-05,0.00048144988,0.00040985062,8.68658e-05,0.0005831316
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111414.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.87445414,0.019413715,0.10146056,0.002201095,0.0006173972,3.3592467e-05,1.814578e-05,4.6117944e-05,0.00026836313,0.00022680813,4.2683627e-05,0.00028358126
