类别,precision,recall,f1-score,support,accuracy,AP,AUC
FM-ED,1.0,1.0,1.0,50.0,1.0,1.0,1.0
FM-LD,1.0,1.0,1.0,50.0,1.0,1.0,1.0
FM-MD,1.0,1.0,1.0,50.0,1.0,1.0,1.0
FM-OM,1.0,1.0,1.0,50.0,1.0,1.0,1.0
FM-SD,1.0,1.0,1.0,50.0,1.0,1.0,1.0
HF-ED,1.0,1.0,1.0,50.0,1.0,1.0,1.0
HF-LD,1.0,1.0,1.0,50.0,1.0,1.0,1.0
HF-MD,1.0,1.0,1.0,50.0,1.0,1.0,1.0
HF-OM,1.0,1.0,1.0,50.0,1.0,1.0,1.0
HF-SD,1.0,1.0,1.0,50.0,1.0,1.0,1.0
RJ-ED,0.8032786885245902,0.98,0.882882882882883,50.0,0.98,0.9641492075212932,0.9971428571428571
RJ-LD,1.0,0.98,0.98989898989899,50.0,0.98,1.0,1.0
RJ-MD,0.926829268292683,0.76,0.8351648351648352,50.0,0.76,0.9518276326052016,0.9960857142857142
RJ-OM,0.9803921568627452,1.0,0.99009900990099,50.0,1.0,0.9996078431372548,0.9999714285714285
RJ-SD,1.0,0.96,0.979591836734694,50.0,0.96,0.9927695675971538,0.9993714285714286
macro avg,0.980700007578668,0.9786666666666668,0.9785091703054928,750.0,0.9786666666666668,0.9938902833907268,0.9995047619047618
weighted avg,0.980700007578668,0.9786666666666668,0.9785091703054928,750.0,0.9786666666666666,0.9938902833907268,0.9995047619047619
